metro,corridor_id,legacy_corridor_id,corridor_name,district,level,object_form,form,character,dominant_audience,gateway_dependency,neighborhood_momentum,timing_alpha,safety_day,safety_evening,safety_late_night,weekday_am,weekday_midday,weekday_evening,late_night,weekend_day,path_of_travel_friction,transit_car_orientation,halo_strength,chain_dominance,cafe_whitespace,qsr_whitespace,fast_casual_whitespace,fitness_whitespace,beauty_wellness_whitespace,grocery_convenience_whitespace,shock_resilience,seasonality_amplitude,event_dependency,development_dependency,office_routine,hybrid_remote,family_household,morning_commuters,car_errands,weekend_brunch,young_social_cohort
Dallas–Fort Worth,29F3FE801A11,dfw.downtown_fort_worth,Downtown Fort Worth–Sundance Square,Fort Worth Core,MACRO,AREAL_NETWORK_REGION,COMPACT_WALKABLE,"Sundance Square's managed plaza blocks and office towers below the Tarrant County courthouse bluff, mixing weekday workers with heritage tourists on Tarrant's most walkable grid.","WORKERS, TOURISTS, RESIDENTS",LOW,76,45,78,70,58,62,75,65,35,70,30,45,62,55,55,55,60,55,55,70,62,20,35,55,8,6,3,7,4,7,6
Dallas–Fort Worth,322706DAF4CC,dfw.pleasant_grove,Pleasant Grove,Dallas East-South,MACRO,AUTO_ORIENTED_BELT,EXTENDED_CAR_ORIENTED,"Working southeast Dallas family belt on Lake June and Buckner, where chain QSR coverage far outruns cafe, fitness and fast-casual supply.","RESIDENTS, COMMUTERS",MODERATE,48,55,58,52,42,55,50,55,15,60,42,15,15,80,58,35,60,58,55,45,60,12,5,40,2,3,7,6,9,4,4
Dallas–Fort Worth,344D47DECA89,dfw.denton_square,Denton–Historic Square,Denton County,MACRO,NODAL_DISTRICT,STANDARD_URBAN,Two-university county-seat square where UNT's music-school energy runs an indie coffee-and-bar grid around the 1896 courthouse.,"STUDENTS, RESIDENTS, NIGHTLIFE",LOW,60,52,78,70,58,65,70,72,55,75,42,28,55,40,40,50,55,55,55,45,65,35,35,40,4,7,5,4,8,7,8
Dallas–Fort Worth,3663F62EF636,dfw.coppell,Coppell–Old Coppell,Irving-Mid-Cities,MACRO,AREAL_NETWORK_REGION,EXTENDED_CAR_ORIENTED,"Affluent family suburb wrapped around Old Town's small historic node, hemmed by freeway and airport edges at the metro's north logistics flank.","RESIDENTS, COMMUTERS, WORKERS",LOW,55,45,85,82,78,55,55,50,12,58,35,6,40,80,60,45,55,55,60,45,75,15,10,35,3,6,8,4,8,6,3
Dallas–Fort Worth,390715604DAF,dfw.plano_legacy,Plano–Legacy West,Collin County,MACRO,NODAL_DISTRICT,EXTENDED_CAR_ORIENTED,"Corporate-campus premium mixed-use anchored by the Toyota NA and Liberty Mutual hosts, where Legacy West's luxury retail ring feeds on the office-day lunch and expense-account evening.","WORKERS, SHOPPERS, RESIDENTS",MODERATE,78,32,85,80,72,62,78,68,30,65,42,22,75,75,35,40,30,45,40,40,58,15,20,70,8,6,7,6,8,7,6
Dallas–Fort Worth,3FEE7284528A,dfw.irving,Irving–Old Irving,Irving-Mid-Cities,MACRO,AUTO_ORIENTED_BELT,EXTENDED_CAR_ORIENTED,"Working suburb around Old Irving's heritage core, with immigrant retail along Irving Boulevard and Belt Line and a TRE rail edge.","RESIDENTS, WORKERS, COMMUTERS",LOW,50,55,60,52,42,55,60,55,20,60,35,20,25,65,65,55,60,60,65,50,65,15,15,45,4,4,7,5,8,5,4
Dallas–Fort Worth,4200471AD82F,dfw.design_district,Design District–Trinity Groves,Dallas Core,MACRO,AREAL_NETWORK_REGION,STANDARD_URBAN,Showroom-and-studio zone along Dragon and Slocum with the Trinity Groves restaurant incubator as a special-zone overlay on its river edge.,"WORKERS, SHOPPERS, RESIDENTS",MODERATE,66,55,70,62,50,55,65,70,45,60,40,25,65,40,50,55,55,55,55,50,60,20,35,65,4,4,2,4,6,6,4
Dallas–Fort Worth,45488E8C88F1,dfw.addison,Addison–Beltline,Dallas North,MACRO,NODAL_DISTRICT,STANDARD_URBAN,"The metro's densest restaurant row on Belt Line Road over a corporate village grid, with Addison Circle and Vitruvian Park as its walkable pockets.","WORKERS, NIGHTLIFE, RESIDENTS",LOW,62,45,75,70,60,50,75,80,45,75,42,30,60,55,40,35,35,45,45,40,65,25,35,45,6,6,4,6,8,7,6
Dallas–Fort Worth,45557781040C,dfw.rowlett,Rowlett–Downtown,North-East,MACRO,NODAL_DISTRICT,EXTENDED_CAR_ORIENTED,Lakeside family suburb rebuilding a small downtown around the DART terminus while the Sapphire Bay lakefront project adds a destination edge.,"RESIDENTS, COMMUTERS, SHOPPERS",LOW,62,60,78,74,65,50,55,58,12,62,38,22,40,78,62,45,58,60,58,48,68,25,20,55,2,4,8,5,8,5,3
Dallas–Fort Worth,478E01C11C56,dfw.west_7th,West 7th–Montgomery Plaza,Fort Worth Core,MACRO,LINEAR_SPINE,STANDARD_URBAN,"The metro's second late-night district on a converted department-store strip, running bar-and-patio volume between downtown and the museums.","NIGHTLIFE, RESIDENTS, TOURISTS",LOW,60,32,75,64,48,28,45,72,72,55,30,18,50,60,45,42,40,50,48,45,55,25,25,50,3,4,3,2,6,6,7
Dallas–Fort Worth,495DB123FD8F,dfw.farmers_branch,Farmers Branch–Valwood,Dallas North,MACRO,AUTO_ORIENTED_BELT,EXTENDED_CAR_ORIENTED,Warehouse-and-office belt repositioning toward mixed use around Brookhaven and the coming Silver Line station.,"WORKERS, RESIDENTS, COMMUTERS",MODERATE,60,60,70,62,50,55,65,40,15,45,45,20,35,80,65,55,65,60,55,55,60,15,10,60,5,4,6,6,8,4,3
Dallas–Fort Worth,4AEE6814BE65,dfw.arlington_entertainment,Arlington Entertainment District,Arlington,MACRO,NODAL_DISTRICT,EXTENDED_CAR_ORIENTED,"Stadium-arena-theme-park cluster on the I-30 spine with a hotel strip and Texas Live! as the year-round dining floor; AT&T Stadium, Globe Life Field and Six Flags surges are special-zone overlays.","TOURISTS, NIGHTLIFE, SHOPPERS",MODERATE,58,35,66,60,50,35,45,70,55,85,45,8,70,75,50,25,35,45,40,55,65,45,82,55,2,3,6,3,4,5,6
Dallas–Fort Worth,4E2A7AFA5A77,dfw.west_dallas_trinity,West Dallas–Trinity Corridor,Dallas Core,MACRO,AREAL_NETWORK_REGION,STANDARD_URBAN,"Redevelopment frontier across the river from downtown, with new mixed-use nodes landing over longtime working Latino neighborhoods.","RESIDENTS, WORKERS, SHOPPERS",MODERATE,68,62,58,50,40,45,55,65,40,65,45,20,60,45,60,65,65,70,65,70,55,20,25,70,3,4,4,4,7,4,3
Dallas–Fort Worth,5166F7465828,dfw.benbrook,Benbrook,Fort Worth West,MACRO,AREAL_NETWORK_REGION,EXTENDED_CAR_ORIENTED,"Quiet lake-edge suburb running family routines on US-377 and Bryant Irvin, with weekend demand tied to Benbrook Lake recreation.","RESIDENTS, COMMUTERS",MODERATE,48,50,82,78,70,45,50,58,10,62,40,6,28,82,62,50,60,55,55,45,72,22,8,35,2,4,8,6,8,5,2
Dallas–Fort Worth,531B47EC7F65,dfw.love_field_utsw,Love Field–UTSW Medical,Dallas North,MACRO,NODAL_DISTRICT,EXTENDED_CAR_ORIENTED,"Airport edge wrapped around the UTSW–Parkland–Children's medical row, a 24-hour institutional demand engine whose hospital segments are scored later.","WORKERS, COMMUTERS, RESIDENTS",MODERATE,62,55,68,60,50,75,80,55,38,55,45,38,45,68,60,55,65,55,50,55,80,10,15,55,5,3,3,7,7,3,2
Dallas–Fort Worth,5B0D76757832,dfw.alliance,Alliance Town Center–Presidio,Alliance-North FW,MACRO,AUTO_ORIENTED_BELT,EXTENDED_CAR_ORIENTED,"Master-planned corporate-and-retail boomtown on the I-35W flank of Texas Motor Speedway, where new rooftops keep arriving ahead of supply; race weekends are a special-zone overlay.","WORKERS, SHOPPERS, RESIDENTS",MODERATE,83,65,82,78,70,55,70,72,25,80,48,8,62,80,62,55,62,58,58,48,60,25,45,75,6,6,9,7,9,7,5
Dallas–Fort Worth,65F839D5716A,dfw.richardson_telecom,Richardson–Telecom Corridor,Dallas North,MACRO,LINEAR_SPINE,EXTENDED_CAR_ORIENTED,"Telecom-era office spine on US-75 reborn around CityLine's rail-served mixed use, with UT Dallas pulling the north end younger.","WORKERS, STUDENTS, RESIDENTS",LOW,65,55,78,72,62,60,72,65,25,60,40,35,55,75,50,45,50,50,50,50,70,20,15,50,7,6,6,6,8,5,5
Dallas–Fort Worth,6E9487B5653B,dfw.fair_park_south_dallas,Fair Park–South Dallas,Dallas Core,MACRO,AREAL_NETWORK_REGION,STANDARD_URBAN,"Working residential grid wrapped around the Art Deco fairgrounds, where the State Fair surge is a special-zone overlay, not the corridor's baseline.","RESIDENTS, TOURISTS, COMMUTERS",LOW,48,58,55,45,35,50,55,45,25,60,35,45,25,55,65,60,65,70,65,65,50,55,60,45,2,3,4,5,6,3,2
Dallas–Fort Worth,71DE2E031025,dfw.north_fort_worth,North Fort Worth–Saginaw,Alliance-North FW,MACRO,AREAL_NETWORK_REGION,EXTENDED_CAR_ORIENTED,"Established northside family grid around Saginaw and the I-35W/820 interchange, running on school-and-commute rhythms with value retail.","RESIDENTS, COMMUTERS, SHOPPERS",MODERATE,55,50,72,66,55,60,55,58,15,62,45,10,38,78,58,52,60,55,55,45,68,20,10,30,3,4,8,8,9,5,3
Dallas–Fort Worth,7484C600E706,dfw.bishop_arts,Bishop Arts District,Dallas Core,MACRO,NODAL_DISTRICT,COMPACT_WALKABLE,"Indie dining village in North Oak Cliff, largely arrived, pulling metro-wide weekend diners onto a two-block main-street grid.","RESIDENTS, SHOPPERS, TOURISTS",LOW,62,28,68,62,50,45,55,78,45,82,35,30,80,20,20,25,30,35,35,40,65,20,25,50,2,7,4,3,4,9,7
Dallas–Fort Worth,74A7EB49F0F6,dfw.arlington_downtown_uta,Downtown Arlington–UTA,Arlington,MACRO,MULTI_SPINE_DISTRICT,STANDARD_URBAN,Historic Center Street main street and the College Park district riding a student-driven revival beside UTA's big commuter campus; the campus is a special-zone overlay.,"STUDENTS, RESIDENTS, WORKERS",LOW,58,62,68,60,48,45,60,55,30,50,30,12,40,45,62,40,55,55,58,40,65,35,25,50,4,5,5,4,6,5,6
Dallas–Fort Worth,76AA06D1AF77,dfw.mesquite,Mesquite–Town East,North-East,MACRO,NODAL_DISTRICT,EXTENDED_CAR_ORIENTED,"East-metro chain retail anchored on the Town East mall special zone, with rodeo-arena heritage and a working, increasingly Hispanic residential grid.","RESIDENTS, SHOPPERS, COMMUTERS",LOW,50,58,65,58,48,50,60,58,25,65,45,10,35,82,55,35,50,55,55,45,62,25,40,40,2,3,7,5,9,5,4
Dallas–Fort Worth,7C55B227EC98,dfw.near_southside_magnolia,Near Southside–Magnolia,Fort Worth Core,MACRO,LINEAR_SPINE,STANDARD_URBAN,"Indie restaurant row and mural district on the Magnolia spine, anchored by the hospital cluster and Fairmount's historic housing stock.","RESIDENTS, WORKERS, TOURISTS",LOW,68,35,70,62,50,45,60,75,40,75,32,20,70,25,35,40,40,55,55,55,60,20,20,55,3,5,5,3,5,8,7
Dallas–Fort Worth,80134D3589E9,dfw.lewisville,Lewisville–Old Town,Denton County,MACRO,MULTI_SPINE_DISTRICT,EXTENDED_CAR_ORIENTED,"Established I-35E suburb whose revived Old Town main street and lake edge anchor a working, steadily diversifying retail base.","RESIDENTS, SHOPPERS, COMMUTERS",MODERATE,52,55,74,68,60,55,65,65,20,68,40,18,30,75,60,45,55,55,55,45,65,25,25,40,4,5,7,6,9,5,4
Dallas–Fort Worth,8204DA466F8B,dfw.carrollton,Carrollton–Old Downtown,Denton County,MACRO,MULTI_SPINE_DISTRICT,EXTENDED_CAR_ORIENTED,Diverse established suburb where a Korean-anchored retail belt along Old Denton Road feeds a reviving rail-side historic square.,"RESIDENTS, SHOPPERS, COMMUTERS",MODERATE,55,55,74,68,58,60,70,75,32,75,42,25,45,62,55,50,55,55,50,38,70,15,10,35,5,5,7,6,9,5,5
Dallas–Fort Worth,893A2E26CE50,dfw.lake_highlands,Lake Highlands,Dallas North,MACRO,AREAL_NETWORK_REGION,EXTENDED_CAR_ORIENTED,Established family grid of ranches and rebuilds feeding the Skillman–Audelia retail nodes near White Rock Lake.,"RESIDENTS, SHOPPERS",LOW,55,50,82,76,68,60,50,55,15,65,30,15,45,70,55,50,55,55,55,45,75,15,10,35,2,6,8,5,8,7,3
Dallas–Fort Worth,893AF688CF54,dfw.stockyards,Fort Worth Stockyards,Fort Worth Core,MACRO,NODAL_DISTRICT,STANDARD_URBAN,"Cattle-heritage tourism engine converting a working stockyard district into a full visitor product, with honky-tonk nightlife after dark.","TOURISTS, SHOPPERS, NIGHTLIFE",MODERATE,70,45,72,66,50,35,65,70,45,82,38,10,68,25,50,55,55,15,20,35,55,35,65,60,2,2,4,2,6,6,4
Dallas–Fort Worth,948F9AC2C2EF,dfw.north_dallas,North Dallas–Preston Hollow,Dallas North,MACRO,AREAL_NETWORK_REGION,EXTENDED_CAR_ORIENTED,"Estate affluence and mature strip retail along Preston Road, with the Medical City hospital campus anchoring the northeast edge as a special-zone overlay.","RESIDENTS, SHOPPERS",LOW,52,45,88,84,78,55,55,50,15,60,33,12,70,78,55,45,55,50,50,40,75,15,8,30,4,7,7,5,9,7,2
Dallas–Fort Worth,9863A55E321E,dfw.park_cities,Highland Park–University Park,Dallas East-South,MACRO,NODAL_DISTRICT,EXTENDED_CAR_ORIENTED,"Enclave wealth with its own police and school district, anchored by Highland Park Village and Snider Plaza, with NorthPark Center and SMU as hosted special zones on the edges.","RESIDENTS, STUDENTS, SHOPPERS",LOW,50,22,92,90,88,55,65,55,12,78,42,25,85,78,22,15,25,22,20,18,85,22,8,15,3,6,8,5,9,8,5
Dallas–Fort Worth,9D50937874D3,dfw.fort_worth_south,Fort Worth South–Hemphill,Fort Worth Core,MACRO,LINEAR_SPINE,STANDARD_URBAN,"Working Latino-first retail on the Hemphill arterial with the JPS hospital campus and corporate HQ anchors, serving its own neighborhoods more than visitors.","RESIDENTS, WORKERS, COMMUTERS",LOW,52,55,56,46,36,60,65,55,25,70,35,15,25,45,65,55,65,65,60,45,60,15,10,40,4,3,6,4,7,5,3
Dallas–Fort Worth,9D9D89BB5918,dfw.cultural_district,Cultural District–Museums,Fort Worth Core,MACRO,NODAL_DISTRICT,STANDARD_URBAN,"World-class museum campus and the Will Rogers event grounds with Dickies Arena surges as a special-zone overlay, ringed by leafy established neighborhoods.","TOURISTS, RESIDENTS, WORKERS",LOW,55,40,78,70,56,40,62,58,20,75,28,15,45,40,55,45,55,45,40,35,65,30,60,35,3,4,6,2,6,5,4
Dallas–Fort Worth,9E9114D0C49D,dfw.ridgmar_lake_worth,Ridgmar–Lake Worth,Fort Worth West,MACRO,AUTO_ORIENTED_BELT,EXTENDED_CAR_ORIENTED,Fading enclosed-mall node on I-30 giving way to big-box and lake-community retail along TX-199 toward Lake Worth.,"RESIDENTS, SHOPPERS",MODERATE,46,58,72,64,50,40,55,58,18,65,42,8,22,65,55,45,55,55,50,50,55,32,15,62,2,3,6,5,8,4,3
Dallas–Fort Worth,A0342773B2FC,dfw.downtown_dallas,Downtown Dallas–Main Street,Dallas Core,MACRO,AREAL_NETWORK_REGION,STANDARD_URBAN,"The regional office core on DART's central rail junction, with converting towers and a growing but still thin after-hours residential base.","WORKERS, RESIDENTS, TOURISTS",LOW,62,52,72,62,48,80,85,55,25,55,30,58,55,60,60,55,60,55,55,62,55,20,25,60,10,6,2,9,3,4,4
Dallas–Fort Worth,A1582E267364,dfw.allen,Allen–Watters Creek,Collin County,MACRO,AUTO_ORIENTED_BELT,EXTENDED_CAR_ORIENTED,"Family suburb riding the US-75 retail belt, where Allen Premium Outlets and Watters Creek pull countywide weekend shoppers over a maturing subdivision grid.","RESIDENTS, SHOPPERS, COMMUTERS",MODERATE,60,40,84,80,72,50,68,62,15,85,40,8,55,82,55,40,45,45,50,40,70,30,15,30,3,5,9,5,8,6,4
Dallas–Fort Worth,A33199B9FC77,dfw.frisco_central,Central Frisco–Downtown Frisco,Collin County,MACRO,MULTI_SPINE_DISTRICT,EXTENDED_CAR_ORIENTED,"Family boomtown's retail heart on the Stonebriar mall belt and Frisco Square civic node, with a small historic Rail District core holding Main Street.","RESIDENTS, SHOPPERS, WORKERS",MODERATE,82,45,86,82,72,52,70,68,18,82,36,10,60,80,45,35,30,40,45,35,65,30,25,60,4,6,9,5,8,7,6
Dallas–Fort Worth,A3D9554F2B30,dfw.oak_lawn_cedar_springs,Oak Lawn–Cedar Springs,Dallas Core,MACRO,LINEAR_SPINE,STANDARD_URBAN,"LGBTQ main street on Cedar Springs with dense rentals and established dining, holding steady between Uptown's towers and the medical district.","RESIDENTS, NIGHTLIFE, WORKERS",NONE,60,45,72,66,55,55,65,75,65,70,28,40,55,45,40,45,50,55,50,50,65,20,20,45,4,6,3,4,5,7,7
Dallas–Fort Worth,A52036E3F864,dfw.plano_central,Central Plano–Downtown Plano,Collin County,MACRO,AREAL_NETWORK_REGION,EXTENDED_CAR_ORIENTED,"Established suburb core with the heritage Downtown Plano square and the Red Line's Downtown Plano station, running on family routines and a maturing indie dining strip.","RESIDENTS, WORKERS, COMMUTERS",LOW,58,55,78,72,62,55,62,58,18,62,38,28,45,40,55,50,55,50,50,50,72,15,15,30,4,4,8,5,8,6,3
Dallas–Fort Worth,A78B7E3D6693,dfw.grapevine,Grapevine–Historic Main,Irving-Mid-Cities,MACRO,LINEAR_SPINE,STANDARD_URBAN,"Wine-and-heritage Main Street holding indie tasting rooms and festival demand, with the Grapevine Mills outlet zone as a special-zone overlay rather than baseline.","TOURISTS, RESIDENTS, SHOPPERS",MODERATE,60,40,82,78,70,55,65,70,30,82,40,15,55,40,45,50,55,50,55,50,60,45,55,40,3,4,7,4,7,7,4
Dallas–Fort Worth,A9E456D916AB,dfw.rockwall,Rockwall–Harbor,North-East,MACRO,NODAL_DISTRICT,EXTENDED_CAR_ORIENTED,"Affluent lakefront suburb: premium Harbor waterfront dining and a small historic square on Lake Ray Hubbard's east shore, gated by the I-30 causeway.","RESIDENTS, SHOPPERS, TOURISTS",MODERATE,68,55,88,85,78,55,60,68,18,72,45,5,55,78,55,45,55,60,60,48,70,30,25,45,3,5,9,5,8,7,4
Dallas–Fort Worth,ABE1B4417203,dfw.far_north_dallas,Far North Dallas,Dallas North,MACRO,AUTO_ORIENTED_BELT,EXTENDED_CAR_ORIENTED,"Tollway-corridor garden apartments and 1980s retail pads between LBJ and the George Bush Turnpike, running on commuter traffic.","RESIDENTS, COMMUTERS, WORKERS",MODERATE,58,50,70,64,55,55,60,60,25,65,48,18,45,82,60,55,60,55,55,50,65,15,10,45,5,5,6,7,9,5,4
Dallas–Fort Worth,AD2F1DB3D830,dfw.heb_mid_cities,Hurst–Euless–Bedford,Irving-Mid-Cities,MACRO,MULTI_SPINE_DISTRICT,EXTENDED_CAR_ORIENTED,"Established mid-cities family belt of three towns along the 183 and 121 corridors, anchored by mall retail and a TRE station edge.","RESIDENTS, SHOPPERS, COMMUTERS",LOW,50,55,72,66,58,50,60,55,15,65,40,12,30,85,60,45,55,55,55,45,70,15,10,35,4,4,8,4,8,5,3
Dallas–Fort Worth,AD4F0346ED2F,dfw.las_colinas,Las Colinas–Irving,Irving-Mid-Cities,MACRO,AREAL_NETWORK_REGION,STANDARD_URBAN,"Master-planned corporate district of office towers and the Mandalay Canal, running on a weekday office pulse with the Toyota Music Factory as its evening node.","WORKERS, RESIDENTS, COMMUTERS",LOW,65,45,75,72,65,70,75,55,30,55,40,32,55,65,55,50,45,50,55,45,55,20,35,60,8,5,5,7,7,6,5
Dallas–Fort Worth,B52D900595B7,dfw.prosper_celina,Prosper–Celina,Collin County,MACRO,AUTO_ORIENTED_BELT,EXTENDED_CAR_ORIENTED,"Master-planned boomtown frontier on the 380 corridor, where Windsong Ranch, Light Farms and the Gates of Prosper are landing rooftops faster than quality retail can follow.","RESIDENTS, COMMUTERS",HIGH,90,75,90,87,80,45,50,58,10,62,55,5,45,85,75,65,70,65,70,60,55,15,10,85,2,6,9,4,8,6,3
Dallas–Fort Worth,B89B5CCD5A6F,dfw.dfw_airport_zone,DFW Airport–International Parkway,Airport-Southlake,MACRO,AUTO_ORIENTED_BELT,EXTENDED_CAR_ORIENTED,"Hotel row and air-cargo logistics wrapped around the DFW Airport special zone; terminal demand belongs to the host, not scored into this corridor.","WORKERS, TOURISTS, COMMUTERS",HIGH,60,50,82,78,74,70,65,60,55,60,45,18,30,85,55,35,55,45,40,45,40,35,15,55,4,4,2,6,6,4,2
Dallas–Fort Worth,BD7B6AA5565B,dfw.uptown_victory,Uptown–Victory Park,Dallas Core,MACRO,NODAL_DISTRICT,COMPACT_WALKABLE,"Dense young-professional towers along the McKinney Avenue spine, with American Airlines Center event surges in Victory Park as a special-zone overlay.","RESIDENTS, NIGHTLIFE, WORKERS",LOW,70,35,80,75,60,65,70,80,60,75,30,45,70,60,30,40,40,45,40,45,60,20,55,65,8,8,3,6,4,8,8
Dallas–Fort Worth,C9C0EAC29B5D,dfw.haltom_richland,Haltom City–North Richland Hills,Tarrant East,MACRO,AUTO_ORIENTED_BELT,EXTENDED_CAR_ORIENTED,"Established postwar mid-north suburbs between the Airport Freeway and 820, mixing North Richland Hills' kept-up family subdivisions with Haltom City's value retail rows.","RESIDENTS, COMMUTERS, SHOPPERS",LOW,52,55,68,60,50,55,55,60,14,62,40,14,35,82,52,32,48,48,48,42,70,12,8,22,3,4,8,5,8,5,4
Dallas–Fort Worth,CEC106E7F8DC,dfw.flower_mound,Flower Mound–Parker Square,Denton County,MACRO,NODAL_DISTRICT,EXTENDED_CAR_ORIENTED,High-income family suburb with top-tier safety whose retail gathers at Parker Square and the lake-edge Lakeside district along FM 2499.,"RESIDENTS, SHOPPERS",NONE,50,55,88,86,82,60,60,70,10,75,35,5,45,85,60,40,50,55,55,45,75,15,10,45,4,6,9,6,9,7,4
Dallas–Fort Worth,CF62DE7B65B3,dfw.balch_springs_seagoville,Balch Springs–Seagoville,North-East,MACRO,AUTO_ORIENTED_BELT,EXTENDED_CAR_ORIENTED,"Working southeast fringe along the 175 spine: value retail, under-served rooftops and semi-rural edges toward Seagoville's old main street.","RESIDENTS, WORKERS",MODERATE,48,62,62,55,45,45,52,50,15,55,52,8,20,65,68,55,62,62,60,58,58,15,10,35,1,2,7,4,8,3,3
Dallas–Fort Worth,D02C32785B46,dfw.galleria_area,Galleria–Midtown,Dallas North,MACRO,NODAL_DISTRICT,EXTENDED_CAR_ORIENTED,"Mall-anchored hotel and retail node at the 635–tollway interchange, with the Valley View site mid-reinvention as Dallas Midtown.","SHOPPERS, TOURISTS, WORKERS",MODERATE,55,60,68,60,48,50,70,70,35,80,50,28,65,85,45,35,40,45,40,45,55,30,25,65,7,5,4,7,9,6,4
